passer_player_name,week,season,posteam,defteam,complete_pass,incomplete_pass,interception,qb_hit,sack,pass_touchdown,passing_yards,pass_attempts,def_complete_pass_allowed,def_avg_ints,def_avg_qb_hit,def_avg_sack,def_avg_td_allowed,def_avg_yards_allowed,2023_qb_completion_avg,2023_qb_yards_avg,2023_qb_attempts_avg,2023_qb_int_avg
B.Mayfield,9,2021,CLE,CIN,14.0,7.0,0.0,5.0,2.0,2.0,218.0,21.0,21.5,1.125,6.5,2.625,1.125,270.375,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
B.Mayfield,9,2022,CAR,CIN,14.0,6.0,0.0,0.0,0.0,2.0,155.0,20.0,21.5,1.125,6.5,2.625,1.125,270.375,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
B.Mayfield,12,2018,CLE,CIN,19.0,7.0,0.0,1.0,0.0,4.0,258.0,26.0,21.5,1.125,6.5,2.625,1.125,270.375,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
B.Mayfield,14,2019,CLE,CIN,11.0,11.0,2.0,4.0,1.0,0.0,192.0,22.0,21.5,1.125,6.5,2.625,1.125,270.375,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
B.Mayfield,16,2018,CLE,CIN,27.0,10.0,0.0,0.0,0.0,3.0,284.0,37.0,21.5,1.125,6.5,2.625,1.125,270.375,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
B.Mayfield,17,2019,CLE,CIN,12.0,12.0,3.0,7.0,6.0,3.0,279.0,24.0,21.5,1.125,6.5,2.625,1.125,270.375,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
B.Mayfield,2,2021,CLE,HOU,19.0,1.0,1.0,2.0,2.0,1.0,213.0,20.0,21.333333333333332,0.5555555555555556,4.666666666666667,2.0,0.8888888888888888,237.77777777777777,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
B.Mayfield,9,2023,TB,HOU,21.0,9.0,0.0,5.0,2.0,2.0,265.0,30.0,21.333333333333332,0.5555555555555556,4.666666666666667,2.0,0.8888888888888888,237.77777777777777,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
B.Mayfield,10,2020,CLE,HOU,12.0,8.0,0.0,2.0,1.0,0.0,132.0,20.0,21.333333333333332,0.5555555555555556,4.666666666666667,2.0,0.8888888888888888,237.77777777777777,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
B.Mayfield,13,2018,CLE,HOU,29.0,9.0,3.0,1.0,0.0,1.0,397.0,38.0,21.333333333333332,0.5555555555555556,4.666666666666667,2.0,0.8888888888888888,237.77777777777777,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
B.Mayfield,2,2022,CAR,NYG,14.0,15.0,0.0,4.0,2.0,1.0,145.0,29.0,20.4,1.0,4.2,1.6,1.3,226.6,22.363636363636363,235.27272727272728,33.90909090909091,0.6363636363636364
